Image Width,Processors,Part 2,Part 1 Attempt 2,Part 1 Attempt 1,Un-Parallel
1000,2,1.013597,0.091846,0.238421,0.777827
1000,6,0.234642,0.20875,0.202216,0.777827
1000,10,0.150697,0.351689,0.206773,0.777827
1000,14,0.116866,0.496925,0.211699,0.777827
1000,18,0.101467,0.610154,1.214504,0.777827
1000,22,0.096099,0.758273,1.222531,0.777827
1000,26,0.092978,0.904456,1.232061,0.777827
1000,30,0.084732,1.056459,1.236403,0.777827
1000,34,1.007179,1.171057,1.243261,0.777827
1000,38,1.00682,1.317841,1.254286,0.777827
1000,42,1.006663,1.46721,1.259734,0.777827
1000,46,1.006987,1.578416,1.270033,0.777827
1000,50,1.012003,1.7294,1.271172,0.777827
1000,54,nan,1.878843,1.272844,0.777827
1000,58,nan,2.024149,1.276601,0.777827
2000,2,7.687204,nan,nan,5.057529
2000,6,1.616238,nan,0.381096,5.057529
2000,10,0.960089,nan,0.376527,5.057529
2000,14,0.710357,nan,0.3766,5.057529
2000,18,0.569654,nan,1.37125,5.057529
2000,22,0.492112,nan,1.389686,5.057529
2000,26,0.430539,nan,1.393154,5.057529
2000,30,0.402363,nan,1.409443,5.057529
2000,34,0.374518,nan,1.423018,5.057529
2000,38,0.353119,nan,1.424881,5.057529
2000,42,0.337642,nan,1.43293,5.057529
2000,46,0.325403,nan,1.439374,5.057529
2000,50,0.309601,nan,1.442381,5.057529
2000,54,0.284411,nan,1.457414,5.057529
2000,58,0.27688,nan,1.456773,5.057529
3000,2,nan,nan,nan,11.819257
3000,6,5.253235,nan,0.672533,11.819257
3000,10,3.024692,nan,0.642908,11.819257
3000,14,2.178846,nan,0.636423,11.819257
3000,18,1.714765,nan,1.624608,11.819257
3000,22,1.436928,nan,1.639275,11.819257
3000,26,1.261905,nan,1.646149,11.819257
3000,30,1.126943,nan,1.659537,11.819257
3000,34,1.031085,nan,1.684666,11.819257
3000,38,0.957293,nan,1.698809,11.819257
3000,42,0.878274,nan,1.71141,11.819257
3000,46,0.842676,nan,1.698746,11.819257
3000,50,0.796878,nan,1.731182,11.819257
3000,54,0.754636,nan,1.750715,11.819257
3000,58,0.723396,nan,1.757216,11.819257
4000,2,nan,nan,nan,33.797860
4000,6,12.254745,nan,nan,33.797860
4000,10,6.981008,nan,1.023242,33.797860
4000,14,4.972647,nan,1.004863,33.797860
4000,18,3.865553,nan,1.969293,33.797860
4000,22,3.21313,nan,1.9862,33.797860
4000,26,2.759769,nan,1.9936,33.797860
4000,30,2.44499,nan,2.004942,33.797860
4000,34,2.212623,nan,2.046816,33.797860
4000,38,2.035126,nan,2.061946,33.797860
4000,42,1.881858,nan,2.058307,33.797860
4000,46,1.753612,nan,2.105131,33.797860
4000,50,1.620229,nan,2.10329,33.797860
4000,54,1.538583,nan,2.126209,33.797860
4000,58,1.475184,nan,2.101269,33.797860
